Shop name,Review,Stars,Date,Country
Nestz Living,Horrible customer service.. they invited me to use their extra service to speed up my website. They promised to get job done within 2 weeks but ended up nothing done for 1 month. I would have given 0 star if possible,1,18-Oct-20,Australia
Grit&Passion,"Great and easy to use. Very helpful, I didn't know how valuable SEO is to a shopify store until using this app. I understand why it is much needed.",5,21-May-20,United States
Rarr,Overall good experience considering its a free option.  It's a relatively basic report that can show you some overall focal points.,4,8-Aug-17,United States
Greenlogo,Easy to use and very valuable. Very useful at the same time time saver. Definitely use this app. Complete all package. Useful and very easy to operate. This is so valuable for new in industry.,5,"Edited January 9, 2020",Philippines
Fashionpics4u,Great for giving you the heads up on seo and how well your site is doing,5,3-Jul-17,United States
Smiles Per Gallon Co,It's nice that it takes care of SEO for me. I did not know much before this app and it is helping me understand it better. Would want it to be easier to navigate.,5,6-Jan-22,United States
Livamed Vitamins,I am very happy with the basic functionality of this App. It covers all of the basics very quickly and with a simple to use interface. The assistance to resolve issues is also very valuable.,5,12-Nov-20,United States
Sugar Coated Gifts,Great App. Has very detailed instructions for self service. Its perfect EVEN for people who are not very familiar with SEO.,5,9-Sep-20,United States
Farsi Jewelers,Great app! A lot of do it yourself tips.,5,29-Dec-15,United States
High Voltage Detox,"Easy to use, informative and helpful. I recommend this to anyone who is too busy to spend a lot of time with SEO, but appreciates its value.",5,3-May-17,United States
Kvity,"*my opinion, that is the best software on the market *cool soft
*best price (but little beet expensive)
*best regards
Dan Volsky",5,25-May-22,Israel
Giftsduniya,This App really helps in fixing SEO issues.,5,28-Jun-17,India
Newstyleforyou,nice app to use for a lot of think try it,5,23-Mar-17,Morocco
Eshays,"I['m not too sure how this SEO helps, when it updated my ATL image titles it made the text for all my items say the same thing. I'm afraid to update the app again as I have made manual changes to reflect the TRUE title of the item. This app is a little confusing.",1,13-Jun-17,United States
Your Retriever 2,Thanks for the recommendations.,4,12-Sep-16,United States
vividici,Works great and gives me quick results for the site,This software helped me a lot when I didn't know how to optimize SEO,5,15-Jun-22,China
Lust-gas.se - Lustgas till hela Sverige,"The support helped us clean up the code automatically installed by the app. Code that negatively impacted our SEO metrics (after the first installation). We installed this app to test it out. But the app made changes to the Theme files, adding code that changes ALL our Meta Titles and Meta Description in an undesirable way. These files were not removed upon uninstallation, and meanwhile, we had the theme copied to our other sites. We experienced a massive leap in numerous SEO factors when we uninstalled the app, so please watch the SEO metrics after installation.",5,"Edited April 12, 2022",Denmark
Global,It's a really good app. It's a really good app. It's a really good app. It's a really good app. It's a really good app. It's a really good app.,5,14-Jan-20,United States
Krafting shop,very helpful especially for SEO beginners. it offers a lot of details on how to setup your own descriptions. it helps a lot.,5,"Edited January 12, 2020",Romania
The Deplorable Deck,Really enjoy this app.  Super easy to install and use.  It does it all.  The rest of this review is to get to the 100 character minimum.,5,6-Sep-18,United States
True Ceramic,"just plugged it in. seems to be intuitive and easy to follow, will review again in a month to report more",5,18-Sep-19,United States
Spicer's Online Emporium,"It's been hard getting anyone to take the time to look at my store as I've been developing it. PluginSEO was just what I was looking for, an indifferent eye to scan my site to make sure I don't miss a thing. Great app. I highly recommend it.",5,5-Aug-13,Canada
Ezhorse,"Love the App Plugin SEO.  Not only does it find errors in which my site needs improvements, I  continually learn more about the whole search engine process as I try to fix them.",4,24-Sep-16,United States
Tengoods,Great app! Excellent service! Highly recommend!,5,9-Nov-16,United States
The Spotted Kiwi,"Very good helps with pointers on SEO issues and you can resolved them yourself our outsource.
Thanks
www.clickit2you.com",4,4-Dec-16,New Zealand
Paws And Ponies,Seems to be doing the job :-) https://vauxandjames.co.uk,4,28-May-16,United Kingdom
Cutedutch,"The project is performed by Luke and i´m satisfied with the support of the company, i recommend these guys to help you with seo assignments.",5,20-Aug-17,Netherlands
Cold Busted,"Reached out to customer service about the error ""Cannot Connect to Search Console An unexpected error occured, refresh to try again."" on Wed, Jun 30 2021 and while they did contact us back it's now Jul 22 and the problem has not been fixed. We are on the Paid plan but if this continues much longer it may be time to switch to another SEO plugin.",1,22-Jul-21,United States
Bohemeandbeyond,"Great plugin - brought a lot of SEO-issues to our attention. Thanks.
https://bohemebeyond.com",5,16-Oct-16,Denmark
Pictom Senc,Super application. Un must pour les sites Shopify!,5,13-Apr-17,Canada
RileysClosetByHelena,I can even express how amazing this app truly is. it walks you through everything. no need to guess about anything.,5,1-Aug-20,United States
The One Stop Christmas Shop,Great app; easy to use and helpful. Thank you.,5,22-Nov-17,United Kingdom
Seewhatsnewstore,I am the most un-tech savvy e-commerce entrepreneur you will ever run across. The support staff of plug-in SEO made my purchasing and installation of this app as close to perfect as I have run a crossed in this enperfect world!,5,2-Nov-17,United States
All Things Black Lives Matter,"I just signed up for this app and picked the paid-for version. It sure did make it easy. I'm glad I did because I'm the kind of person that would mess with it for hours, not really knowing what I'm doing and probably mess it up.",5,20-Jun-20,United States
TZPurecotton,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,5,30-Oct-20,China
Eco Ists,don't know yet am just starting,4,6-Dec-16,Panama
World of Lounge,I appreciate everything Plug In SEO has done for my Shopify Store. Their communication and instructions have been clear and concise. I would recommend.,5,15-Feb-22,United States
Monster Massive,So far so good. It has pointed out some issues that we are going to change. thanks,5,25-Sep-16,United States
The Camping Outlet,Great App - Have this on both my sites and would happily recommend,5,2-Jun-13,United Kingdom
FLOMEC®,App is good but not a direct fit for our requirements. Aiza and the support team were very responsive and efficient in adapting to our requirements.,4,11-Nov-20,Australia
NIA,I use this app to do seo@gotonia and I really like how it does. Thank you. I hope that everyone will be fine.,5,5-Sep-19,United States
Forty Acres Fashions,Im finding all the apps in Shopify store are helpful and useful.,5,3-Jun-17,United States
Vassekin2,happy with the application. I will use. I advise everyone.,5,17-Mar-18,United States
Your Locker Com,lovely design and very helpful in all aspects,5,19-Dec-17,United States
Snoop Gold,Quick and easy installation. The process is quick and easy because of the proper instructions laid out.,5,23-Mar-20,Qatar
Shyne's Collection,I used this app to help me advertise my business like a professional. How they give you instructions on the style and layout is amazing.,5,4-Jun-21,United States
Blossom Creek Elderberry Syrup,"The service from these folks is great. They respond each night to questions I've compiled throughout the day. We're still in the free-trial period, so our experience hasn't been long term.",5,"Edited September 25, 2020",United States
Kimbeau,"I have not seen any traffic or change in the two months I have used this apps, and for this reason, I'm removing this app.",2,"Edited April 11, 2021",United Kingdom
Handleitobrien,Really easy to use and helped a lot when building the site in the beginning,4,30-Mar-18,Ireland
Hydro Green Grow,Easy way for an SEO Nube to get great SEO on their website quickly.  I am new to SEO and I found Plug in SEO to be very easy to use.,4,20-Mar-19,United States
Astral Force,Good app. Thank you ! That help me very much to promote my website into search consoles. I hope that will increase my sales :),5,21-Jun-19,Switzerland
nitty-gritty store,"I really like it, but still discovering all about it and won't say my final opinion til find a real impact",5,9-May-20,Egypt
Ruff Watch,b,5,26-Sep-19,France
Ue Timepieces,Good app that tells you what needs to be fixed.,5,5-Oct-16,Sweden
Kissbel,Buena app para mejorar todos los aspectos que tienen que ver con el SEO de mi tienda. La uso desde hace poco pero lo que llevo hasta ahora bien.,4,16-Aug-21,Spain
Desk Accessories Organizer,"Woow! A very useful app, tested on my website www.wlexpres.com",5,29-Aug-17,Morocco
SantaSvg,"Aws app. Thank you. Thanks to you guys, I only know the seo optimization tools for my products. Increase my sales income. Thank you",5,7-Dec-21,Vietnam
Our Periods Store,"1 year, i'm working with plug in seo it helps me a lot , try it is  easy to manger ,the desgin every think is intersting",5,"Edited November 28, 2019",Algeria
shop416.com,"I am glade that i installed the app. SEO is so powerful, i did not know. Choose keyword make big difference. Thanks to the creator",5,20-Jun-20,Canada
Prémium Koreai Ginseng,The app has been extremely helpful in refining your seo settings. I recommend to everyone. I look forward to the results.,5,11-Jun-20,Hungary
Walmel,I am using this app to improve my SEO rankings. I am trying to learn as much as possible but it is still a mystery to me. I recommend it for anyone with knowledge of coding.,5,"Edited October 2, 2019",Sweden
Sundaygirl Studio,"The SEO enhancements are fairly easy to understand and video tutorials are included,in most cases no actual coding is required to make these changes.  When I've run into issues I can't figure out,  I just sent an email and received a response within 24 hrs, they're super helpful.  I'm just getting started, looking forward to getting everything optimized on my site.",5,10-Oct-17,United States
Info Izardlinea It,"Very poor service, very poor app...........",1,17-Jan-17,Italy
WGC Shop,"After over two years of use, customer support became increasingly unwilling to help with the problem and eventually uninstalled",1,17-Jun-22,Hong Kong SAR
Finca El Injerto,"its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
v
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool 
its cool",3,2-Oct-18,Guatemala
Entrebel,"I'm really new to this, so I needed an app that could easily identify issues and present fixes.  I'm learning a lot.  The option to fix issues yourself is nice.  I only with there were more examples and screenshots.  Thanks for the help!",4,26-May-16,United States
Dalton Skincare Malaysia,"Good App to start off, recommend to all new shopifer to try it out.",4,13-Aug-18,Malaysia
The Lifestyle Luxury Store,App lets you know the problems you have in your site straightaway.,5,"Edited February 16, 2016",Maldives
hometomato.se,"Great help in a busy business, love the feedback and proactive approach to SEO errors. I would recommend it to all working with E-Commerce.",4,24-Jan-20,Denmark
All That Glitters Fine Jewelry,"I started using this app about a month ago and my SEO was not bad but it needed help. When I began using this app I was on page 6, second to last and in the month I have been using this app I have gone from page 6 to page 1. I would suggest to anyone who needs help with their SEO to get this app if you don't know how to fix something it has good instructions on how to fix issues and if your on the plus their support is outstanding, even if your not on plus the support is still good. I recommend this app highly  to keep your SEO where it needs to be.",5,7-Jul-19,United States
Harborough Safe Co,Great product. Sorted my SEO problems out straight away.  Daniel was super kind and solved a problem in an instant.  Can't recommend them more highly.,5,10-Feb-17,United Kingdom
Sling Shotz Forever,wow thank you for providing a great service for new store owners,5,1-Sep-18,Canada
Ordexx,"Great app, helps identify any SEO problems your website might have.",5,15-Sep-16,Denmark
Ederant,Works really well they tell you what to do and where to fix the problems to increase SEO optimization.,5,19-Jun-20,Netherlands
ALEHOPPY,"i´m just starting with this tool and i´m not an expert at all with it, but this is looking good.. let´s wait to see if it worth it or not. thanks!!",4,13-Jan-20,Spain
Jcrypto Electronics Gifts,good app works well gets the job done awesome worth the download,5,19-Dec-17,United States
H20able,I dont know much about how to do SEO so this helped me out. It scanned my site and told me the things it could do. I use it everytime I add something or change anything.,5,9-Nov-16,United States
MOQ boxing,"excellent app, as a complete SEO novice this is a really simple way of seeing what improvements you can make to your store to improve rankings. After making some of the suggestions our web page visits have increased due to higher search engine rankings",5,11-Feb-20,United Kingdom
Heramosa,"good app to use, it help me a lot for seo traffic, hope can gain more traffic and sales, easy to use",5,6-Jul-19,Malaysia
Axii Fab,i just started with it but love the app already. I hope it can continue to make all my pages SEO enhanced,5,10-Sep-20,United States
Fiyah Jewellery,"Increased speed as requested, thank you.",4,15-May-17,United Kingdom
Madness Muse Apparel,"Great Service. I haven't tried their paid tools yet, but I just might.",5,"Edited October 8, 2016",United States
Jps Bears,Worked with Daniel who made sure everything stayed on track. We used the page speed premium option and it greatly increased or page speed. Will be looking to try the SEO Premium too. I will add additional updates as we complete the service.,4,"Edited February 23, 2018",United States
Curiositea,"Love this app, thanks for the SEO help",5,11-Oct-16,United States
Carmenliusmith Com The Travel Apparel,"I went over from the free to the pro version and am very impressed, by the areas that they cover and detect for areas to be improved on, it is simple enough to DIY and understand, the help is also very responsive and very helpful.",5,"Edited February 15, 2017",United States
Nagi 4,This is a great app! Very user friendly and helped us tremendously with SEO.,5,12-Oct-16,United States
lokispigshop,I have just started using this app. I am excited to see how it can make my shop better. I am hoping to bring more customers to my shop. Thank you Libby for helping me fix some of my issues. Fast response. I will continue to use this app when I need help fixing my website.,5,"Edited October 5, 2020",United States
Sleekmesh,Very helpful and easy website.I absolutely love it!,5,23-Sep-16,United States
Evolution Fitness Co,"Simple, easy to use and quick to respond. Def keep using as a sanity check.",4,24-Oct-16,United States
Lovely Little Life,"This seems to already be making a difference in my organic traffic. Thank you Aiza, who helped me get up and running!",5,30-May-18,Australia
Sunny Days Swimwear,"Quick and simple, provided instructions and the code to fix your SEO problems. 5 Star!",5,6-May-17,United States
Electron Shop,application tres bien je recomande,5,4-Jun-18,France
Next Day Batteries,A must have for anyone who is just starting out on shopify! 5/5,5,3-May-17,United Kingdom
Love Trust,Is AMAZING!!!! They give u everything you need to get where you want to be!! super easy and its free!!!!!!!,5,5-Feb-18,United States
Blue Gear,Great! Easy to use and very clean to fix the SEO problem,5,21-Apr-17,Australia
Wildr Outdoor,"Great app to improve flow to your website and optimize SEO for sales conversion. Good features, well done!",5,"Edited October 3, 2016",Canada
Silverfoxstone,Great app! Very helpful in making sure you website is effective.,5,6-Sep-17,United States
OLIVE BRANCH GIFT BASKETS PLUS,"AWESOME ,  very nice app  and thank you it works",5,21-Nov-14,United States
Hiteck Hobby,Very good response time and good work. Well worth the money.,4,11-Oct-16,United States
Diabetesexpress,"So far so good, I have only run one of the options",4,25-Jun-18,Canada
Marleighz,"The app is easy to use, really helpful!  Love being able to zero right in on problems in an efficient way!",5,29-Dec-18,United States
Chainsforhim,Excellent service. They did exactly what they said they would do and got it done on time. Really good communication as well.,5,11-May-16,United States
Newcakes,"Every email I receive or update I get from PluginSEO it says that my SEO is 100%.  Now my website is quite busy and has been around for many years, but when I changed Platforms to Shopify I pretty much had to start from scratch and build up my SEO, which is obviously not perfect as I only starting doing this 3 months ago.  Now we all know (or should know) that onsite SEO can take years to build, but apparently mine is perfect all the time.  I do get about 30K+ visitors a month but I reckon my SEO could be better, but with this app telling it's perfect I don't know where I can improve things which is the whole point of the app in the first place.",3,30-Mar-17,United Kingdom
In & Yu Printed Clothing,"Me está siendo de ayuda para personalizar mi Seo, y poder introducir las palabras clave que sirvan de guía a Google para mostrar mi tienda",4,27-Jul-20,Spain
E Cessory,Aiza has been excellent to work with. The project was finished ahead of schedule and I couldn't be happier. :),5,13-Aug-18,United States
Fpvnow,"good, nice easy to use  very help full",5,24-Apr-17,United Kingdom
Cdlcstore,Awesome App! Very easy to use. Great customer service. Top,5,17-May-16,Austria
Ethel May Fashions,"This app is great, clear instruction and examples to make it easier. Gets to work straight away. I would recommend this to anyone. I was able to fix SEO problems with this app. It was easy to set my titles and descriptions.",5,"Edited January 8, 2020",Canada
Dealzzone,"this app is free but nevertheless, its great for beginners",5,27-Sep-17,Cayman Islands
WolfChef0 Home Recipes & designs,"Easy to use, extremely helpful. An essential App for optimizing your search engine keywords and formats. Easy to use for beginners with a clean, user friendly layout. Increased my store visits and even lead to my first sale. Highly recommended!",5,1-Jun-22,Canada
Webb Skin Care,"So far, so good but I am just getting started.  I did like that when I emailed your company someone returned my email and it was not a robot.",5,3-Jun-20,United States
Picatoy,Good app! highly recommend!! thanks!,5,4-Apr-17,United States
ASDF Print,it works very very well. easy to use and very professional. it works very very well. easy to use and very professional,5,13-Jun-21,Japan
Red Lips Studio,"It is easy to install and useful to figure out problems on your site. Give it a try..you will not be dissapointed at all. You have nothing to lose, except about 15 minutes of your time to install.",4,26-Feb-16,United States
Rics Freshwater Fish Tanks And Accessories,Absolutely fantastic App! A must have for anyone new to ecommerce and marketing. A True Time Saver.,5,8-May-17,United States
Jedston,"This app is Great. We like it
www.jedston.com",5,5-Oct-16,United States
XBODY UK,"The app passed our page speed test, when the actual Google test gave us a very low score of just 28%, so not a very accurate test! And any help with SEO issues costs between $180-$480. Will look for another solution.",2,19-Nov-18,United Kingdom
Samysscorner,"this makes my work eazy now 
i like it",5,26-Jan-17,Belgium
Bedrocksandals De,"Provides good tipps. A lot can be done by myself and if not, I can decide if I want to hire an expert. Good usability.",4,19-Oct-16,United States
Mandys Bookstore,"Great, helps me to make sure product SEO is the best it can be",5,5-Dec-16,United States
Small Batch Roasting Supplies,Very Useful -  a behind the scenes review of the operational aspects of your site.,4,4-Jan-17,United Kingdom
Tartle,Great App! Great Support! Easy to use and its FREE!,4,24-Aug-16,Australia
S Varietystore,"plugin Seo is a Great tool to work with for fixing your SEO problems , thanks a lot",5,24-Jan-17,United States
Best Gear Online,A Good Tools for SEO. Recommended.,5,7-Sep-17,Bangladesh
Univrzoom,"Great tool. Easy to use, and must for everyone!",4,2-Sep-16,Hungary
Cooking Club,"I highly recommend using this app, especially for young sites. The customer services were very responsive and helpful.",5,"Edited July 3, 2019",Kuwait
H A Sueno,"really helpful for me,  nice app",5,23-Dec-17,China
Sayko Store,"English: I really like this app. It's very good and funny.
Spanish: Realmente me gusta esta aplicación. Es muy buena y entretenida.",5,5-Dec-19,Chile
Sidekicks Shoes,"Love this app!  Simple, straight-forward review and suggestions to improve SEO.  Sends regular updates and does not send any unwanted spam.  Especially helpful for non-techies; you need this app to help you compete.",5,29-Jan-15,United States
Wine of Georgia,I used the app to check my SEO and help me fix the issues that occurred. Extremely professional and will go out of they way to help. Recommended by a friend and have definitely not disappointed. Highly recommend,5,26-Feb-22,United Kingdom
The Little Quinn Boutique,Very Helpful. I enjoy the step by step feature and the added dropdown menu for instructions to give an idea of what is wanted in each area.,5,7-Sep-21,United States
21 Million Lights Shop,"I really did not noticed that it was an app, I thought it was integrated in Shopify … Sorry for my english, I am german … very good is the thing with the alt text for the pictures",4,"Edited December 2, 2021",Germany
Pink Pig 4,we just installed the premium version of this app so we will be back with another review in do time.  the customer service has been outstanding!,4,1-Dec-16,United States
CosmicElement,Good support and app makes it easy to understand what missing for SEO. Shows the different places were improvements can be made.,5,15-Sep-20,United States
Mbd Inspirational,I have just started using the app.  I like it so far.  Thank you,5,11-Feb-17,United States
indelibly yours,"I am currently using the Free Trail, the customer support has been amazing. I have found that it tells me exactly what needs fixing, and although I some of it I didn't know how to fix the customer support did for me. Highly Recommend this app. It is one of the first that does exactly what it states it does",5,14-Dec-18,Australia
Fitness Tracking,We are really new to SEO and really appreciate the service you are providing. We plan on opening additional stores at Shopify and we want to learn everything we can about SEO and to know that you are there when we need an expert to perform the task for us.,5,18-Jul-19,United States
NUDE EU,"I started using Plug in SEO since a few days and I am very pleased with the quick customer support. This helps a lot when starting to work with such applications. Looking forward what Plug in SEO can help us with, but on first sight it looks good and very easy to use.",4,19-Jan-21,Italy
Dinosaur Parts,Aiza at PlugInSEO has been incredibly helpful!,5,17-Apr-17,United States
Point Peche,on m'a demandé de le noté alors pourquoi pas. je le fait parce que j'ai que sa à faire. Ripccccccccc,5,18-Feb-19,France
Cameo Rouge,"I used the advanced services, which saved me time (= money), such a relief to know that this works, and I can start seeing results that improve my organic traffic.",5,8-Dec-20,United States
House of Beautiful Gardens,I m new so far good. Will need to learn more about SEO.  However just starting out so will get there slowly.,5,3-Mar-19,Australia
3 Elements Fashion,"Just launched my store 3 Elements Fashion and I'm very glad this app was available to be used in pointing the way by letting me know where my site was lacking, thanks guys great job.",4,23-May-16,United States
Camp'N'Friend,Its good! its helping my google listing and its straight forward and easy to use. I highly recommend this product.,5,8-Sep-18,Canada
Melange Luxury,"Big help is initial evaluation of my 4 day new website
Just beginning my first day and these guys are fantastic.  For  programming newbies like myself this service is invaluable.  Thank You.",5,"Edited July 10, 2017",United States
Value Print,"Did everything I wanted, definitely helped me with my SEO. Recommended for sure",4,22-Mar-17,South Africa
Domino Clothing,"Gives the feedback you can find on other SEO checking websites, but rolled into a convenient checking tool built into your shopify experience.",5,12-Jan-17,United States
Soccerware Co,Free version was able to get me some good feedback on SEO tips and tricks. Great app!,5,17-Jul-16,United States
Funnygarden,"easy to use, great performance",5,3-Jun-18,Vietnam
Jutah Studios,"Giving this a real try out, heard great things!",5,14-Oct-16,United Kingdom
Red Dragon Manufacturing,"Shopify is a godsend.  After spending a fortune over the years on 'we masters' who frankly were taking our money for doing the bare minimum, along comes Shopify and we have control, flexibility and a great website t'boot.",4,17-Oct-16,United Kingdom
Puzzleex,very nice app I really think it's really professional! thank you sureswift capital !!!!!!!!!!!!!!!!!,5,9-Mar-21,Israel
Insta Fanci,Excellent app. worked instantly,5,5-Feb-17,India
Dm Masks,This plugin is great!  is help me in getting stated and offered sound advice to fix the issues I was facing. I know I will be using this App to generate quick checks and get great recommendations in the future!,4,9-Oct-16,United States
The Cheeky Grinder,They did a good job and customer support was very good and accomodating. Gave me very detailed reports and suggestions.,5,2-Mar-22,Philippines
CraftSoap,"We are a brand new, 100% natural, mostly organic, soap, body butter and bath bomb manufacturer. We're crazy about aromatherapy, zero carbon footprint, zero cruelty and holistic therapies and we carry that philosophy into everything we make.",5,1-Feb-20,United States
Niklaas Fritz,"great app, excellent service and seems to be working great since installed. hope we can work together again",5,22-Jan-19,Mexico
Growth,"I used this app and it improved my site, easy to use and very slick designs. Highly recommended for anyone",5,10-Oct-21,New Zealand
Tadalu,"Really, the great app saves a lot of time. All on automatic. I would recommend for everybody who's not that good with SEO.",5,"Edited May 30, 2019",United States
Brilliantwigs,I used this app to help me do seo.I really like how it does seo.It would be nice if did seo better .,5,13-Jan-22,China
4salon,App works well for showing SEO issues on your website with the option to pay to have them fixed. The owner Daniel was helpful when we had an issue with our website speed.,4,"Edited December 16, 2015",United States
Keogo,Great SEO application! It is a must for every online store,5,23-Nov-17,Türkiye
Tikno Like,"thanks, good job. great product.util application.",5,14-May-18,United States
Lollipop Collective,"Works like a charm, thank you for allowing me to purchase",5,27-Jun-17,United States
Lounge Collection Ltd,Easy to use App.  Recommended.,4,16-Jan-18,United Kingdom
Sea gull,"Great great great service and app. use it to rank my shop. great customer service, so nice, QUICK answers and professional. thanks so much !!",5,8-Mar-19,Israel
Mon Bijoux,Je ne sais pas encore quoi en penser!!,4,16-Jan-17,Mayotte
JA Global,I like the app so far I will give  higher rate as i use it more! I just installed and it already found some errors lest read and try to fix the most that I can right now!,4,14-Dec-19,Canada
Wirelessmart,"Very Nice app, Points out the weak points..",5,22-Oct-16,Canada
The Absentee,finds out all potential problems with site. faster load times means more happy customers!,5,3-Oct-16,Singapore
Cws Healing,Works fine and the support was very quick but if you want them to do work for you then I feel it is a bit expensive but you can do it yourself with instructions provided if you are feeling brave.,4,14-Apr-16,United Kingdom
souqalif,"i highly recommend it to all, very friendly customer support, she fixed my issues very quickly. Setup is easy and looking forward to seeing some results. Thank you guys for this tool! thanks",5,5-Jan-22,United Arab Emirates
Reneecgarcia,Great App. Def recommend. A must for all stores.,5,27-Feb-18,United States
Kartiel Designs,This app is great!! It tells you exactly what the issues are and how to fix them!,5,5-Sep-17,United States
Ad Venture Daves Ltd,"yes recommend,,great for newbies",5,12-Dec-16,United States
The Path To Longevity,I used this app to help me optimize the load up speed for my website. The technician who encoded everything for me worked very fast and responded via email even faster. I definitely recommend this app if you need help to optimize your store speed  as well as search engine optimization and more,5,10-Apr-19,United States
Allwoodwatch,"Nice job with the blog writing. 
www.allwoodwatch.com",5,16-Oct-17,United States
ItalMex Jewelry,"Love the platform! Super user-friendly and any issues at all or questions, the support team is AWESOME (specifically Aiza). They went above and beyond with detailed explanations which is a huge plus with the complexities of SEO. Highly recommend!",5,1-Feb-20,United States
Women's Wholesale Fashion Outlet,To be honest I have never been happier that I added your app to my shop.. Aiza has been nothing but helpful and very active in staying in touch.. I have nothing but great things to say about her and she fixes what is asked of her and beyond..  If you ever let her go I need her on my side  lol,5,"Edited March 15, 2019",United States
Smartpsds1,nice way to improve site seo.,5,11-Apr-17,India
OBO Direct,Great app! Customer service was very efficient too and helped me with the questions I had in not time.,5,22-Mar-21,New Zealand
Chakra Hearts,Iam So glad I find this app!! It's going to help with our website tremendously!! Cheers to great apps  Thankyou,5,17-Mar-17,Australia
Earthorizon,"This is one of my favorite apps!  We had used it in a previous store, and are very happy to have it install right away on the first try in our new store.  The best part is that this app is free without making us feel cheap, because it also provides us with expert paid help if and when we need it.  Otherwise, we can do the easy work by ourselves.  Great app and a great win-win idea for both the developer as well as the user!  Thank you Daniel for providing a much needed service.",5,9-Oct-15,Singapore
Assistelloja,"otimo app, logo no inicio corrigiu falhas no site",5,25-Mar-18,Brazil
MPIX ECO SHOP,I used to this app. it's great analyzer and helps you lot for SEO and google ranked. they specified your problem and you can easily solve your issue.,5,18-Nov-19,Bangladesh
Jarpipe,Just started using it. So far so good.,4,17-Apr-18,United States
MJW Army Surplus Store,I enjoyed using this app as it was easy to do the tag and editing peices for my website which this app made it so easy to do,5,"Edited August 22, 2020",United Kingdom
Maritime Clothing Inc,"I had great customer service from Aiza! my emails were answered very quickly, she went into my Settings and fixed a bunch of stuff for me, this app is great!",5,27-Feb-18,Canada
Save Haven,VERY Fruitful.Thank you.savehaven.site,5,20-Oct-16,United States
Test Polo Company,"Easy to install. Home page neatly summarises the findings of the checks - SEO, speed and blog. Users get to click each category for further details. A good starting  SEO tool.",4,3-Aug-15,Australia
Engineering Outfitters,It's a great addition to any web store. I would recommend to anyone who hasn't used it yet.,5,2-Oct-16,United States
The Banger Store,"Says free forever, but yet when you go to install the app, it requires you to agree to a 7 day trial and then upgrade to $20 a month...",1,7-Jul-18,United States
Lot Of You,great app for your store. it check everything,5,21-Nov-17,United States
Smolfeet,"Love this app, and it's free! Very useful to check any SEO when launching your store! :D",5,25-Sep-16,Malaysia
Titi Malaysia,This app can fix my issue. Great. Thank you.,5,26-Oct-16,Malaysia
Zeitgeist Urban,really nice app....enjoy it to try the trial version,5,23-Oct-17,Germany
ALITHRA,it seems nice and the work is really well done and the simplicty of this app creates a better experience,5,18-May-19,Romania
Wrister,"Wow.  This app completely exceeded our expectations.  We didn't expect much when we saw the price (free) but were pleasantly surprised when we saw the level of detail this app goes into.  (Eg, it tests for things like frequency of blog posts, etc. which is more detailed than typical ""shallow"" seo reviews).  Nice!",5,20-May-16,United States
Plenty Of Time,This is a Great App! Very Helpful!,5,4-Feb-17,United States
Lighteds,"Nice meeting with Divya Pal, it was a sweet way to introduce me to the app !
Really informative ! 
I hope I learn more from them again!",5,"Edited January 16, 2023",Canada
Wonderful Buy Store,This is a great app. It is easy to use. I had no problem setting it up. Would recommend it to anyone who is interested in SEO for their store.,4,"Edited December 27, 2017",United States
My Yoga Practice,this is a must have for any site. paid is awesome,5,14-Sep-16,United States
Doodles By Mdev,Really helpful for a complete beginner like me!,5,24-Oct-16,Canada
Myhotleggings,Every website needs to be optimized and by adding this app you have access to everything you need to rank highly with plug-in-seo,5,8-Dec-18,United States
Rengsonlinestore,"One of the best to tool to market and to check your SEO settings. http://www.esu-shop.com is using this tool to identify some errors on our sites. Therefore, esu-shop.com loves it!",5,24-Oct-16,Philippines
Malleable Jewellers,"Absolutely fantastic customer service, they gave an in depth review of the challenges my theme faced and optimized where possible.",5,9-Apr-20,Canada
Nerv Hq Tokyo 3 Division,"After configuring it and fixing the issues, I saw the conversion rate Jump immeidately!",5,8-Nov-16,United States
Arrami,Great app. Does the job. I would really recommend it.,5,10-May-17,Nigeria
Letzgo Pets,"I'm currently using the free version and it has been helpful at the very least as a checklist, prompting me to look out for different areas of concern. Some parts may require coding but the guides provided is helpful if you have a little bit of background in coding. Otherwise you might want to try the paid version for more support.",4,"Edited January 22, 2022",Singapore
Shopbodysense,"Responsive to inquires and request for change(s).  A new application that will provide data for down the road, hopefully in 3-6 months I can attest to the results. Yes, I recommend - professional.",4,19-Sep-16,United States
Uneekdose,we love them and tell others too.,5,30-Mar-18,United States
Espera boutique,"Very helpful, rapid, good tips and suggestions, I really needed this app to help me with my website! It will help me with the traffic.",5,"Edited January 2, 2020",Canada
Dejavustore,hopefully helps catapult me on the google results list :),5,20-Nov-17,United States
Black Bear Hardware,"I just used this app because we were not ranking on any SEO and wanted to get our name and site to the public, still going through the process will advise at a later time if this worked.",5,14-Nov-19,United States
Pizzazzo,Slick design and helpful advice. Thanks!,5,23-Oct-16,Australia
